Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"225696397692",35873-003 | Piper PA28RT-201 | Vertical Fin Assy,,35873-003,"1","FIXED_PRICE","USD",1444.95,,,1444.95,"0","0","","Jul-28-23 10:59:36 PDT","Mar-28-26 10:59:36 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"225797444481",66975-000 | PIPER PA-28-140 | FIN ASSEMBLY,,N1700T-66975-000,"1","FIXED_PRICE","USD",514.9,,,514.9,"0","0","","Sep-30-23 17:42:01 PDT","Mar-30-26 17:42:01 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"225797445573",66767-002 | PIPER PA-28-140 | ALEIRON ASSY LEFT,,N1700T-66767-002,"1","FIXED_PRICE","USD",966.15,,,966.15,"0","0","","Sep-30-23 17:44:17 PDT","Mar-30-26 17:44:17 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"225797465911",35630-992 | PIPER PA28RT-201 | PA28RT-201 WING ASSEMBLY LEFT LH,,N8315B-35630-986,"1","FIXED_PRICE","USD",7184.85,,,7184.85,"0","1","","Sep-30-23 18:14:59 PDT","Mar-30-26 18:14:59 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"225797466136",35630-988 | PIPER PA28RT-201 | PA28RT-201 WING ASSEMBLY RIGHT RH,,N8315B-35630-989,"1","FIXED_PRICE","USD",7184.85,,,7184.85,"0","4","","Sep-30-23 18:15:15 PDT","Mar-30-26 18:15:15 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"225823249603",0426005-212 | Cessna 150J | STRUCTURE ASSY RH WING / WITH STOL KIT,,N60378-0426005-212,"1","FIXED_PRICE","USD",3156.85,,,3156.85,"0","8","","Oct-17-23 16:54:43 PDT","Mar-17-26 16:54:43 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"225840119019",650180-503 | MOONEY M20J | COWLING ASSY LOWER,,N201FY-650180-503,"1","FIXED_PRICE","USD",1142.85,,,1142.85,"0","3","","Oct-27-23 19:05:23 PDT","Mar-27-26 19:05:23 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"225840120663",650180-501 | MOONEY M20J | COWLING ASSY UPPER,,N201FY-650180-501,"1","FIXED_PRICE","USD",966.15,,,966.15,"0","5","","Oct-27-23 19:07:25 PDT","Mar-27-26 19:07:25 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"225842725336",480005-523 | MOONEY M20J | EMPENNAGE ASSEMBLY,,N201FY-480005-523,"1","FIXED_PRICE","USD",2955.45,,,2955.45,"0","0","","Oct-29-23 13:45:06 PDT","Mar-29-26 13:45:06 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"225842801903",0426005-213 | Cessna 150J | STRUCTURE ASSY LH WING / WITH STOL KIT,,N60378-0426005-213,"1","FIXED_PRICE","USD",3156.85,,,3156.85,"0","6","","Oct-29-23 15:00:17 PDT","Mar-29-26 15:00:17 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
