Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,12405 Northwest 39th Avenue,X60
md41-724-mid-continent-beechcraft-35-33-gps-annunciation-control-unit,MD41-724 | Mid-Continent | Beechcraft 35-33 | GPS Annunciation Control Unit,Title,Default Title,,,,,N610V--MD41-724--3QSLS4,,,1,not stocked
mk-12d-tso-narco-beechcraft-35-33-nav-com-unit-14v,MK-12D TSO | Narco | Beechcraft 35-33 | Nav-Com Unit 14V,Title,Default Title,,,,,N610V--MK-12D-TSO--DE4A5B,,,1,not stocked
066-1062-00-king-radio-beechcraft-35-33-kt-76a-atc-transponder-with-mods-and-tray-14v,066-1062-00 | King Radio | Beechcraft 35-33 | KT-76A ATC Transponder with Mods and Tray (14V),Title,Default Title,,,,,N610V--066-1062-00--PIVZVK,,,1,not stocked
20364-1-brittain-beechcraft-35-33-tc100evt-rate-of-turn-indicator-13v,20364-1 | Brittain | Beechcraft 35-33 | TC100EVT Rate Of Turn Indicator (13V),Title,Default Title,,,,,N610V--20364-1--OZHJ1B,,,1,not stocked
102-0071-04-rc-allen-beechcraft-35-33-attitude-gyro,102-0071-04 | RC Allen | Beechcraft 35-33 | Attitude Gyro,Title,Default Title,,,,,N610V--102-0071-04--BRS8MF,,,0,not stocked
123-002-002-brian-industries-beechcraft-35-33-turn-coordinator-air-filters,123-002-002 | Brian Industries | Beechcraft 35-33 | Turn Coordinator Air Filters,Title,Default Title,,,,,N610V--123-002-002--7JEUBM,,,2,not stocked
nav-122-tso-narco-beechcraft-35-33-glideslope-indicator-with-nav-receiver-14-v,NAV-122 TSO | Narco | Beechcraft 35-33 | Glideslope Indicator with Nav Receiver 14 V,Title,Default Title,,,,,N610V--NAV-122-TSO--CIBH3Y,,,1,not stocked
1525-1-brittain-beechcraft-35-33-autopilot-amplifier-12v,1525-1 | Brittain | Beechcraft 35-33 | Autopilot Amplifier 12V,Title,Default Title,,,,,N610V--1525-1--YZ7KKA,,,1,not stocked
430-6050-600-apollo-gx-60-beechcraft-35-33-ifr-approach-gps-moving-map-comm-transceiver,430-6050-600 | Apollo GX-60 | Beechcraft 35-33 | IFR-Approach GPS / Moving Map / COMM Transceiver,Title,Default Title,,,,,N610V--430-6050-600--DCMZTE,,,1,not stocked
22-880-03-garwin-beechcraft-35-33-suction-indicator,22-880-03 | Garwin | Beechcraft 35-33 | Suction Indicator,Title,Default Title,,,,,N610V--22-880-03--RELDDY,,,1,not stocked
5934p-1-united-instruments-beechcraft-35-33-altimeter-indicator-code-a-83,5934P-1 | United Instruments | Beechcraft 35-33 | Altimeter Indicator (Code: A.83),Title,Default Title,,,,,N610V--5934P-1--W19N2Q,,,1,not stocked
1648-6u-a6-1-bendix-beechcraft-35-33-vertical-speed-indicator,1648-6U-A6-1 | Bendix | Beechcraft 35-33 | Vertical Speed Indicator,Title,Default Title,,,,,N610V--1648-6U-A6-1--NQTYBV,,,1,not stocked
id-824-narco-beechcraft-35-33-vor-loc-indicator-w-connector,ID-824 | Narco | Beechcraft 35-33 | VOR-LOC  Indicator w/ Connector,Title,Default Title,,,,,N610V--ID-824--L8U2U1,,,1,not stocked
102-0053-02-r-c-allen-electric-beechcraft-35-33-attitude-gyro-indicator-w-connector,102-0053-02 | R.C. Allen Electric | Beechcraft 35-33 | Attitude Gyro Indicator w/ Connector,Title,Default Title,,,,,N610V--102-0053-02--0BEK34,,,1,not stocked
e-1-electronic-international-beechcraft-35-33-egt-indicator-with-probe,E-1 | Electronic International | Beechcraft 35-33 | EGT indicator with probe,Title,Default Title,,,,,N610V--E-1--FULYUH,,,1,not stocked
egt-701-j-p-instruments-beechcraft-35-33-engine-data-monitor-set,EGT-701 | J.P. Instruments | Beechcraft 35-33 | Engine Data Monitor Set,Title,Default Title,,,,,N610V--EGT-701--LKV1JT,,,1,not stocked
